fips,county,state,block_type,year
50023,Washington County,Vermont,IMPED,2017.0
50025,Windham County,Vermont,IMPED,2017.0
50027,Windsor County,Vermont,IMPED,2017.0
51191,Washington County,Virginia,IMPED,2012.0
55015,Calumet County,Wisconsin,IMPED,2015.0
55049,Iowa County,Wisconsin,IMPED,2014.0
55081,Monroe County,Wisconsin,IMPED,2016.0
55095,Polk County,Wisconsin,IMPED,2023.0
55121,Trempealeau County,Wisconsin,IMPED,2007.0
56011,Crook County,Wyoming,IMPED,2012.0
6023,Humboldt County,California,DTP,2019.0
6033,Lake County,California,DTP,2022.0
6089,Shasta County,California,DTP,2022.0
18065,Henry County,Indiana,DTP,2019.0
19057,Des Moines County,Iowa,DTP,2023.0
20099,Labette County,Kansas,DTP,2022.0
26013,Baraga County,Michigan,DTP,2015.0
26017,Bay County,Michigan,DTP,2019.0
26023,Branch County,Michigan,DTP,2020.0
26061,Houghton County,Michigan,DTP,2020.0
26065,Ingham County,Michigan,DTP,2022.0
26081,Kent County,Michigan,DTP,2019.0
26087,Lapeer County,Michigan,DTP,2019.0
26091,Lenawee County,Michigan,DTP,2018.0
26117,Montcalm County,Michigan,DTP,2022.0
26121,Muskegon County,Michigan,DTP,2018.0
26127,Oceana County,Michigan,DTP,2019.0
26157,Tuscola County,Michigan,DTP,2018.0
38007,Billings County,North Dakota,DTP,2016.0
38013,Burke County,North Dakota,DTP,2019.0
38015,Burleigh County,North Dakota,DTP,2019.0
39025,Clermont County,Ohio,DTP,2023.0
39057,Greene County,Ohio,DTP,2022.0
39101,Marion County,Ohio,DTP,2022.0
39175,Wyandot County,Ohio,DTP,2023.0
46083,Lincoln County,South Dakota,DTP,2017.0
51023,Botetourt County,Virginia,DTP,2022.0
